ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,varRank
GO:0006959,humoral immune response,33/519,92/9803,1.5915672674534397e-19,6.199154506731148e-16,4.794805809949204e-16,S100A9/CD55/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CCL2/CFD/C3/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/JCHAIN/CXCL8/CXCL2/C7/CFB/C4A/C4B/HLA-DQB1,33,high
GO:0006958,"complement activation, classical pathway",21/519,34/9803,5.217982100034598e-19,7.48914874111835e-16,5.792566366348413e-16,CD55/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B,21,high
GO:0008015,blood circulation,53/519,249/9803,7.594476897889322e-19,7.48914874111835e-16,5.792566366348413e-16,HSPB7/CAMK2N1/ZC3H12A/KCND3/ATP1A2/PTGS2/ATP2B4/AGT/CELF2/KCNMA1/HBB/NAV2/CACNA1C/PDE3A/ABCC9/FERMT2/ANPEP/CACNA1H/GNAO1/GJC1/ACE/DSC2/DSG2/ICAM1/CYP4F12/FXYD1/CEACAM1/DMPK/CXCR4/DES/ADA/HMOX1/SLIT2/SOD3/HOPX/ANK2/GUCY1A1/GUCY1B1/ITGA1/ERAP2/HBEGF/HRH2/PLN/CCN2/AKAP12/GPER1/ELN/SLC1A1/PCSK5/DMD/FLNA/F2RL1/OCLN,53,high
GO:0042742,defense response to bacterium,35/519,109/9803,7.691038501790347e-19,7.48914874111835e-16,5.792566366348413e-16,ISG15/EPHA2/PLA2G2A/S100A9/S100A8/LYZ/OAS3/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/GSDMB/C5AR1/SSC5D/IGKC/IGKV3-20/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/JCHAIN/IL7R/AQP1/SERPINE1/F2RL1/LCN2,35,high
GO:0006956,complement activation,23/519,43/9803,9.856249867945101e-19,7.678018647129234e-16,5.938649920433449e-16,CD55/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CFD/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/CFB/C4A/C4B,23,high
GO:0006936,muscle contraction,43/519,169/9803,1.5000765144125474e-18,9.737996706061454e-16,7.531963130260895e-16,ZC3H12A/KCND3/ATP1A2/PTGS2/LMOD1/PPP1R12B/ATP2B4/AGT/KCNMA1/CRYAB/CACNA1C/NR4A1/SYNM/CACNA1H/MYH11/GNAO1/GJC1/MYOM1/DSC2/DSG2/CNN1/FXYD1/HSPB6/DMPK/MYH14/CXCR4/SCN7A/DES/MYL9/ADA/SMTN/MYLK/ANK2/GUCY1A1/ITGA2/PLN/CCN2/GPER1/SULF1/TPM2/DMD/SLC6A8/FLNA,43,high
GO:0003013,circulatory system process,58/519,305/9803,4.512409296843911e-18,2.5108334587438617e-15,1.942032392115379e-15,HSPB7/CAMK2N1/ZC3H12A/LEPR/KCND3/ATP1A2/PTGS2/ATP2B4/AGT/CELF2/KCNMA1/HBB/NAV2/CACNA1C/SLC2A3/PDE3A/ABCC9/SLC38A1/FERMT2/ANPEP/CACNA1H/GNAO1/SLC7A5/GJC1/ACE/DSC2/DSG2/ICAM1/CYP4F12/FXYD1/CEACAM1/DMPK/CXCR4/DES/ADA/HMOX1/SLIT2/SOD3/HOPX/ANK2/GUCY1A1/GUCY1B1/ITGA1/ERAP2/HBEGF/HRH2/PLN/CCN2/AKAP12/GPER1/ELN/SLC1A1/PCSK5/SVEP1/DMD/FLNA/F2RL1/OCLN,58,high
GO:0048514,blood vessel morphogenesis,67/519,400/9803,1.0314758231414025e-17,5.0219979139197034e-15,3.8843207971456494e-15,EPHA2/COL8A2/ZC3H12A/LEPR/CCN1/TGFBR3/VAV3/PTGS2/CHI3L1/ATP2B4/AGT/JCAD/AMOTL1/MCAM/NR4A1/ITGA5/COL4A1/COL4A2/THBS1/CSPG4/ANPEP/TNFRSF12A/PRKCB/CCL2/GJC1/C3/ANGPTL4/LDLR/HSPB6/CEACAM1/HIF3A/C5AR1/EMILIN1/CYP1B1/MEIS1/HK2/CXCR4/NRP2/FN1/ACKR3/PTGIS/ADAMTS1/HMOX1/ADAMTS9/MYLK/APOD/SLIT2/CXCL8/PKD2/FGF2/SFRP2/THBS4/SEMA6A/HLA-G/PRDM1/CCN2/SMOC2/THBS2/HDAC9/AQP1/SERPINE1/EGR3/SFRP1/SULF1/SLC1A1/COL15A1/FLNA,67,high
GO:0002455,humoral immune response mediated by circulating immunoglobulin,21/519,38/9803,1.3260055987453675e-17,5.7386575634591185e-15,4.43862926737923e-15,CD55/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C4A/C4B,21,high
GO:0001568,blood vessel development,71/519,457/9803,6.639023680636347e-17,2.5438280427404615e-14,1.9675524243830013e-14,EPHA2/COL8A2/ZC3H12A/LEPR/CCN1/TGFBR3/VAV3/PTGS2/CHI3L1/ATP2B4/AGT/JCAD/AMOTL1/MCAM/NR4A1/ITGA5/COL4A1/COL4A2/THBS1/CSPG4/ANPEP/TNFRSF12A/PRKCB/CCL2/GJC1/SOCS3/C3/ANGPTL4/LDLR/HSPB6/CEACAM1/HIF3A/C5AR1/EMILIN1/CYP1B1/MEIS1/HK2/CXCR4/NRP2/FN1/ACKR3/PTGIS/ADAMTS1/HMOX1/ADAMTS9/MYLK/APOD/SLIT2/CXCL8/PKD2/FGF2/SFRP2/THBS4/SEMA6A/EGR1/HLA-G/PRDM1/CCN2/SMOC2/THBS2/GPER1/HDAC9/AQP1/SERPINE1/EGR3/SFRP1/SULF1/SLC1A1/COL15A1/COL5A1/FLNA,71,high
