ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009617,response to bacterium,87/565,351/10364,6.173616555508741e-35,2.5274786178252786e-31,1.6642770524903039e-31,ISG15/PLA2G2A/ALPL/JUN/GBP4/VCAM1/S100A9/S100A8/FCER1G/FCGR2B/SELP/HMCN1/PTGS2/RGS1/MRC1/ADM/MPEG1/NR4A1/LYZ/DCN/OAS1/OAS3/OAS2/TRAC/FOS/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/CX3CL1/CD68/CCL2/CCL5/CFD/LRG1/C3/ICAM1/ACP5/ZFP36/BCL3/C5AR1/LILRB2/SSC5D/IGKC/IGKV3-20/SCN7A/SLC11A1/THBD/SLPI/ADAMTS5/IGLC1/IGLL5/IGLC2/IGLC3/GGT5/CSF2RB/LTF/STAB1/CCDC80/SPON2/JCHAIN/CXCL8/CXCL2/ANXA3/HPGD/IL7R/CD14/EDN1/C4B/HLA-DRB1/FKBP5/AKAP12/AQP1/CD36/SERPINE1/TRBC2/ABCA1/GPC3/CD24/LCN2,87
GO:0006959,humoral immune response,48/565,102/10364,7.091387336311776e-34,1.4516069877430206e-30,9.5584436675234e-31,C1QA/C1QC/C1QB/S100A9/FCGR2B/ALOX5/LYZ/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CCL2/CFD/C3/BCL3/IGKC/IGKV3-20/SLC11A1/SLPI/IGLC1/IGLL5/IGLC2/IGLC3/LTF/MASP1/SPON2/JCHAIN/CXCL8/CXCL2/C7/CXCL14/C2/CFB/C4A/C4B/HLA-DRB1/HLA-DQB1/TRBC2/CLU/VSIG4,48
GO:0001568,blood vessel development,97/565,481/10364,4.620291949965816e-31,6.305158414386684e-28,4.151778134688581e-28,JUN/CCN1/F3/PRRX1/PTGS2/CHI3L1/AGT/ALOX5/ACTA2/ADM/CREB3L1/MDK/APLNR/MCAM/THY1/C3AR1/NR4A1/DCN/COL4A1/COL4A2/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ITGB3/NGFR/COL1A1/SOCS3/LRG1/C3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/EMILIN1/CYP1B1/HK2/FN1/ACKR3/RAMP1/ID1/PTGIS/SOX18/ADAMTS1/CLDN5/HMOX1/TYMP/STAB1/ADAMTS9/COL8A1/MYLK/APOD/SLIT2/CXCL8/ANXA3/SFRP2/HPGD/THBS4/TGFBI/EGR1/PDGFRB/EDN1/HLA-G/VEGFA/CCN2/SMOC2/THBS2/GPER1/ITGB8/GPNMB/AQP1/HSPB1/SEMA3C/COL1A2/SERPINE1/PTN/EGR3/SFRP1/SULF1/ANGPT1/CCN3/ENPP2/NTRK2/COL15A1/KLF4/COL5A1/CYBB/GPC3,97
GO:0042742,defense response to bacterium,47/565,117/10364,2.39018462214197e-29,1.7046284509850135e-26,1.1224522312427992e-26,ISG15/PLA2G2A/GBP4/S100A9/S100A8/FCER1G/SELP/MPEG1/LYZ/OAS1/OAS3/OAS2/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/ACP5/BCL3/C5AR1/SSC5D/IGKC/IGKV3-20/SLC11A1/SLPI/ADAMTS5/IGLC1/IGLL5/IGLC2/IGLC3/LTF/STAB1/SPON2/JCHAIN/ANXA3/IL7R/AQP1/CD36/SERPINE1/TRBC2/LCN2,47
GO:0048514,blood vessel morphogenesis,88/565,421/10364,2.404670606882335e-29,1.7046284509850135e-26,1.1224522312427992e-26,JUN/CCN1/F3/PRRX1/PTGS2/CHI3L1/AGT/ALOX5/ADM/CREB3L1/MDK/APLNR/MCAM/THY1/C3AR1/NR4A1/DCN/COL4A1/COL4A2/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ITGB3/NGFR/LRG1/C3/ANGPTL4/LDLR/JUNB/KLF2/HSPB6/APOE/HIF3A/C5AR1/EMILIN1/CYP1B1/HK2/FN1/ACKR3/RAMP1/ID1/PTGIS/SOX18/ADAMTS1/CLDN5/HMOX1/TYMP/STAB1/ADAMTS9/COL8A1/MYLK/APOD/SLIT2/CXCL8/ANXA3/SFRP2/HPGD/THBS4/TGFBI/PDGFRB/EDN1/HLA-G/VEGFA/CCN2/SMOC2/THBS2/ITGB8/GPNMB/AQP1/HSPB1/SERPINE1/PTN/EGR3/SFRP1/SULF1/ANGPT1/CCN3/ENPP2/NTRK2/COL15A1/KLF4/CYBB,88
GO:0006956,complement activation,31/565,45/10364,2.4982341734025598e-29,1.7046284509850135e-26,1.1224522312427992e-26,C1QA/C1QC/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/MFAP4/CFD/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/MASP1/C7/C2/CFB/C4A/C4B/TRBC2/CLU/VSIG4,31
GO:0001525,angiogenesis,81/565,364/10364,5.603078293129601e-29,3.277000361724655e-26,2.1578170689781816e-26,JUN/CCN1/F3/PTGS2/CHI3L1/AGT/ALOX5/ADM/CREB3L1/MDK/APLNR/MCAM/THY1/C3AR1/NR4A1/DCN/COL4A1/COL4A2/TNFAIP2/THBS1/CSPG4/ANPEP/TNFRSF12A/ITGAX/MMP2/CX3CL1/CCL2/ITGB3/NGFR/LRG1/C3/ANGPTL4/KLF2/HSPB6/HIF3A/C5AR1/EMILIN1/CYP1B1/HK2/FN1/ACKR3/RAMP1/ID1/PTGIS/SOX18/ADAMTS1/CLDN5/HMOX1/TYMP/STAB1/ADAMTS9/COL8A1/APOD/SLIT2/CXCL8/ANXA3/SFRP2/THBS4/TGFBI/PDGFRB/EDN1/HLA-G/VEGFA/CCN2/SMOC2/THBS2/ITGB8/GPNMB/AQP1/HSPB1/SERPINE1/PTN/EGR3/SFRP1/SULF1/ANGPT1/CCN3/ENPP2/COL15A1/KLF4/CYBB,81
GO:0002455,humoral immune response mediated by circulating immunoglobulin,28/565,40/10364,6.636951717640398e-27,3.396460041502473e-24,2.2364780722206655e-24,C1QA/C1QC/C1QB/FCGR2B/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/C3/BCL3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C2/C4A/C4B/TRBC2/CLU,28
GO:0006958,"complement activation, classical pathway",26/565,35/10364,3.6058890911881325e-26,1.640278882147135e-23,1.0800797616997435e-23,C1QA/C1QC/C1QB/IGHA2/IGHG4/IGHG2/IGHA1/IGHG1/IGHG3/IGHM/IGHV3-23/IGHV3-30/IGHV3-33/IGHV4-59/C3/IGKC/IGLC1/IGLL5/IGLC2/IGLC3/C7/C2/C4A/C4B/TRBC2/CLU,26
GO:0006954,inflammatory response,84/565,436/10364,2.0698264411256957e-25,8.473869449968597e-23,5.579816332339902e-23,PLA2G2A/GBP5/F3/VCAM1/S100A9/S100A8/ACKR1/FCGR2B/SELP/PTGS2/CHI3L1/AGT/ALOX5/H19/ADM/MDK/NEAT1/FOLR2/BIRC3/CD163/C3AR1/CLEC7A/LYZ/IGF1/CMKLR1/FOS/SERPINA1/SERPINA3/THBS1/CX3CL1/P2RX1/CD68/CCL2/CCL5/CCL14/AOC3/SOCS3/C3/ICAM1/LDLR/ACP5/ZFP36/APOE/C5AR1/CYP26B1/IL1RN/FN1/SLC11A1/SIGLEC1/TGM2/PTGIS/GGT5/HMOX1/SCUBE1/CCR1/STAB1/NFKBIZ/BCL6/APOD/CXCL8/CXCL2/SPP1/CD14/CSF1R/C4A/C4B/HLA-DRB1/GPER1/ADCY1/CD36/SERPINE1/PTN/LPL/CCN3/IL33/CCL21/S1PR3/KLF4/CYBB/TIMP1/SIGLEC10/NLRP2/LCN2/ELF3,84
